,Terms,Freq,POS
8561,colorless,7,NN
8562,kamptal,7,JJ
8563,saltwater,7,NN
8564,indefinable,7,JJ
8565,dropdead,7,JJ
8566,diehard,7,NN
8567,easiest,7,JJS
8568,scrumptious,7,JJ
8569,classification,7,NN
8570,tutti,7,NNS
8571,frutti,7,VBP
8572,tropic,7,JJ
8573,whereas,7,NNS
8574,über,7,VBP
8575,agility,7,NN
8576,loweralcohol,7,NN
8577,mario,7,NN
8578,comeback,7,NN
8579,mw,7,NN
8580,etc,7,FW
8581,stonelike,7,NN
8582,buzet,7,NN
8583,mouthfillingly,7,RB
8584,alba,7,RB
8585,darkroasted,7,VBN
8586,colour,7,NN
8587,marselan,7,NN
8588,bluishblack,7,NN
8589,nasco,7,JJ
8590,hank,7,NN
8591,respectively,7,RB
8592,jacob,7,JJ
8593,sciaccarellu,7,NN
8594,carbonate,7,NN
8595,romantic,7,JJ
8596,trefethen,7,NN
8597,graft,7,NN
8598,annually,7,RB
8599,prima,7,JJ
8600,easytoquaff,7,NNS
8601,animallike,7,IN
8602,id,7,JJ
8603,paler,7,NN
8604,petrichor,7,NN
8605,beneficial,7,JJ
8606,ante,7,NN
8607,harness,7,NN
8608,vacillate,7,NN
8609,sourleaning,7,VBG
8610,artz,7,JJ
8611,basarin,7,NN
8612,neive,7,JJ
8613,keefer,7,NN
8614,non,7,NN
8615,tre,7,NN
8616,affair,7,NN
8617,douse,7,IN
8618,mediumripe,7,JJ
8619,saver,7,NN
8620,vigorously,7,RB
8621,prüm,7,JJ
8622,négociants,7,NNS
8623,doctor,7,NN
8624,catalonia,7,NN
8625,chardonnnay,7,NN
8626,weirdly,7,RB
8627,softfeeling,7,VBG
8628,birth,7,NN
8629,fintan,7,JJ
8630,fresne,7,NN
8631,silkyfeeling,7,VBG
8632,plushfeeling,7,VBG
8633,justbaked,7,VBN
8634,juicelike,7,JJ
8635,garlicky,7,NN
8636,naked,7,VBD
8637,moulin,7,JJ
8638,steadfast,7,NN
8639,eastfacing,7,VBG
8640,heintz,7,NN
8641,puckeringly,7,RB
8642,cherryjam,7,JJ
8643,phenomenal,7,JJ
8644,reinedin,7,NN
8645,moschofilero,7,NN
8646,evenhanded,7,VBD
8647,patagonia,7,JJ
8648,pepperspice,7,NN
8649,melgaço,7,NN
8650,statue,7,NN
8651,tagine,7,NN
8652,barrister,7,NN
8653,amaro,7,NN
8654,tobaccolaced,7,VBD
8655,recognition,7,NN
8656,chest,7,JJS
8657,architectural,7,JJ
8658,respond,7,NN
8659,refermenting,7,VBG
8660,palatepleaser,7,NN
8661,midst,7,NN
8662,lovingly,7,RB
8663,kirschlike,7,JJ
8664,page,7,NN
8665,barrelfermentation,7,NN
8666,cosentino,7,NN
8667,omelet,7,NN
8668,lighterweight,7,VBD
8669,père,7,JJ
8670,butterfat,7,NN
8671,gregorio,7,NN
8672,saintamour,7,VBP
8673,sorrel,7,NN
8674,differ,7,NN
8675,descendant,7,JJ
8676,sideshow,7,NN
8677,highenergy,7,NN
8678,sixth,7,JJ
8679,analysis,7,NN
8680,skillfully,7,RB
8681,confit,7,JJ
8682,eraths,7,NNS
8683,lemoncandy,7,VBP
8684,sheathe,7,JJ
8685,pitchperfect,7,NN
8686,chocolatecherry,7,NN
8687,ultrasweet,7,JJ
8688,moueix,7,NN
8689,banfi,7,NN
8690,alle,7,NN
8691,entrant,7,NN
8692,woodflavored,7,VBD
8693,analyze,7,JJ
8694,übersimple,7,JJ
8695,discordant,7,NN
8696,beringer,7,NN
8697,zealandlike,7,IN
8698,viu,7,NN
8699,synclines,7,NNS
8700,handcraft,7,NN
8701,gajas,7,NN
8702,chutney,7,NN
8703,hush,7,NN
8704,strawberryfruit,7,NN
8705,nary,7,JJ
8706,griffin,7,NN
8707,quartz,7,NN
8708,decompose,7,VBP
8709,sensually,7,RB
8710,oakspice,7,JJ
8711,breadcrumb,7,NN
8712,title,7,NN
8713,nopal,7,JJ
8714,niepoort,7,NN
8715,pitfall,7,NN
8716,massmarket,7,NN
8717,cylinder,7,NN
8718,foretell,7,NN
8719,aspiration,7,NN
8720,sémillonsauvignon,7,NN
8721,stain,7,NN
8722,país,7,JJ
8723,ovenbake,7,VBP
8724,sexton,7,JJ
8725,tenderly,7,RB
8726,hauteserre,7,JJ
8727,granulate,7,NN
8728,grabber,7,NN
8729,sumeire,7,JJ
8730,cabral,7,JJ
8731,markedly,7,RB
8732,demetercertified,7,VBD
8733,tony,7,JJ
8734,nearsweetness,7,JJ
8735,cassoulet,7,NN
8736,pep,7,NN
8737,barelyripe,7,NN
8738,saintdenis,7,NN
8739,tl,7,NN
8740,gimblett,7,NN
8741,tavels,7,NNS
8742,valentine,7,VBP
8743,francled,7,VBN
8744,resistance,7,NN
8745,moderation,7,NN
8746,foglia,7,VBP
8747,matthiasson,7,NN
8748,lagoalva,7,NN
8749,bigshouldered,7,VBD
8750,eberles,7,NNS
8751,cherried,7,VBN
8752,irrepressible,7,JJ
8753,latesummer,7,JJ
8754,message,7,NN
8755,luc,7,NN
8756,puy,7,NN
8757,blackberrylike,7,IN
8758,juliénas,7,JJ
8759,squeakyclean,7,JJ
8760,belle,7,NN
8761,fossil,7,NN
8762,davy,7,NN
8763,bretty,7,RB
8764,churn,7,VBP
8765,chenoweth,7,NNS
8766,supposedly,7,RB
8767,herbscented,7,VBD
8768,perera,7,NN
8769,carmo,7,NN
8770,daisy,7,NN
8771,broquel,7,NN
8772,palatestaining,7,VBG
8773,aveleda,7,JJ
8774,encapsulate,7,NN
8775,sumac,7,NN
8776,stereotypical,7,JJ
8777,wither,7,NN
8778,dissect,7,NN
8779,pablo,7,NN
8780,battonage,7,NN
8781,instability,7,NN
8782,serrano,7,NN
8783,jab,7,NN
8784,colomé,7,NN
8785,tinker,7,NN
8786,lemonandlime,7,NN
8787,applegate,7,NN
8788,quest,7,JJS
8789,anymore,7,RB
8790,manly,7,RB
8791,elerding,7,VBG
8792,lirac,7,JJ
8793,mediumdeep,7,JJ
8794,uruguay,7,NN
8795,stinky,7,NN
8796,ca,7,MD
8797,carrot,7,VB
8798,dismiss,7,JJ
8799,locale,7,NN
8800,fouryearold,7,VBD
8801,pencilshaving,7,VBG
8802,shadowy,7,NN
8803,mildest,7,JJS
8804,sources,7,NNS
8805,zoom,7,NN
8806,certifiedorganic,7,JJ
8807,unity,7,NN
8808,uncomfortably,7,RB
8809,rootstock,7,VBZ
8810,durello,7,NN
8811,noirdominated,7,VBD
8812,existence,7,NN
8813,embellishment,7,NN
8814,vacuous,7,JJ
8815,fronton,7,NN
8816,hike,7,NN
8817,gascogne,7,NN
8818,usage,7,NN
8819,prototype,7,NN
8820,morisoli,7,NN
8821,province,7,NN
8822,paté,7,NN
8823,boatload,7,NN
8824,sandi,7,NN
8825,finelygrained,7,VBD
8826,daily,7,JJ
8827,impede,7,NN
8828,darkgolden,7,NN
8829,terrizzi,7,NN
8830,comehither,7,NN
8831,pernod,7,NN
8832,ricard,7,NN
8833,nasturtium,7,NN
8834,tennis,7,NN
8835,zinging,7,VBG
8836,felton,7,NN
8837,rename,7,NN
8838,alluringly,7,RB
8839,festival,7,JJ
8840,richtextured,7,VBD
8841,kebab,7,JJ
8842,ongoing,7,VBG
8843,mouthclinging,7,VBG
8844,downtown,7,JJ
8845,niggli,7,JJ
8846,weightlessness,7,NN
8847,justsliced,7,VBD
8848,youngest,7,JJS
8849,watermill,7,NN
8850,limerind,7,VBP
8851,devil,7,JJ
8852,laura,7,NN
8853,tuscanstyle,7,NN
8854,freshground,7,NN
8855,luxuriant,7,JJ
8856,bulgaria,7,NN
8857,triple,7,NN
8858,clarissa,7,VBP
8859,aegerter,7,NN
8860,lugana,7,NN
8861,hubers,7,NNS
8862,hoppy,7,JJ
8863,rubicon,7,VBP
8864,desperately,7,RB
8865,terrible,7,JJ
8866,clairet,7,JJ
8867,fizziness,7,NN
8868,cheesebased,7,VBD
8869,joel,7,NN
8870,verdes,7,NNS
8871,chocapalha,7,VBP
8872,stillfirm,7,JJ
8873,bentrock,7,NN
8874,radian,7,JJ
8875,citrusfruit,7,NN
8876,wellpolished,7,VBD
8877,freshwater,7,RB
8878,pitchblackfruit,7,NN
8879,klopp,7,NNS
8880,rootbeer,7,VBP
8881,dim,7,NN
8882,eugénie,7,NN
8883,architect,7,NN
8884,balmy,7,VBZ
8885,lissome,7,JJ
8886,applefruit,7,NN
8887,regionally,7,RB
8888,soylike,7,JJ
8889,trapiches,7,NNS
8890,rampant,7,JJ
8891,wakefield,7,VBD
8892,livio,7,JJ
8893,startlingly,7,RB
8894,wheel,7,VBP
8895,herbaciousness,7,JJ
8896,barbarescos,7,NN
8897,dona,7,NN
8898,borges,7,NNS
8899,enthusiast,7,VBP
8900,coowner,7,NN
8901,hearst,7,JJ
8902,jaume,7,NN
8903,cogno,7,NN
8904,whitecurrant,7,JJ
8905,pommery,7,NN
8906,golf,7,NN
8907,carménère,7,NN
8908,daniel,7,NN
8909,châteaux,7,NN
8910,grandson,7,NN
8911,cranberryorange,7,NN
8912,walker,7,NN
8913,rocim,7,NN
8914,crushedsatin,7,NN
8915,johan,7,NN
8916,flatfeeling,7,VBG
8917,brute,7,JJ
8918,beck,7,NN
8919,nooak,7,NN
8920,stab,7,VBD
8921,gingerly,7,RB
8922,stretchedout,7,RB
8923,thirstquencher,7,RB
8924,supremes,7,JJ
8925,cliftons,7,NNS
8926,pott,7,VBP
8927,smear,7,JJ
8928,francesco,7,NN
8929,dame,7,NN
8930,cinnamontinged,7,VBD
8931,jose,7,JJ
8932,onward,7,JJ
8933,bubblegummy,7,NN
8934,alternately,7,RB
8935,monferrato,7,JJ
8936,cheekgrabbing,7,VBG
8937,rocche,7,NN
8938,pet,7,NN
8939,forthright,7,VBD
8940,polaner,7,RB
8941,costly,7,JJ
8942,meatbased,7,VBN
8943,picturesque,7,NN
8944,welletched,7,VBD
8945,legitimate,7,JJ
8946,oceaninfluenced,7,VBN
8947,honeycoated,7,JJ
8948,reddish,7,JJ
8949,pastis,7,NN
8950,warmerclimate,7,NN
8951,licoricelike,7,NN
8952,roughandtumble,7,JJ
8953,owen,7,NN
8954,blancsémillon,7,NN
8955,linden,7,JJ
8956,cage,7,NN
8957,subservient,7,NN
8958,mary,7,JJ
8959,gordon,7,NN
8960,newleather,7,RB
8961,supertuscan,7,JJ
8962,ultraconcentrated,7,JJ
8963,chocolatebased,7,VBD
8964,leek,7,JJ
8965,language,7,NN
8966,foster,7,NN
8967,sauciness,7,JJ
8968,gift,7,NN
8969,mesnilsuroger,7,NN
8970,palo,7,NN
8971,anomaly,7,NN
8972,synergy,7,JJ
8973,restaurantstyle,7,NN
8974,gallon,7,NN
8975,claylike,7,NN
8976,chair,7,NN
8977,sagelike,7,NN
8978,farmhouse,7,NN
8979,cypress,7,NN
8980,johnson,7,NN
8981,fruitfocused,7,VBD
8982,bonnet,7,JJ
8983,gascon,7,NN
8984,marsannay,7,NN
8985,randy,7,NN
8986,barroca,7,NN
8987,aboveaverage,7,NN
8988,stringent,7,NN
8989,plumlike,7,IN
8990,apropos,7,JJ
8991,torii,7,NN
8992,bué,7,NN
8993,superdark,7,NN
8994,canada,7,VBP
8995,frivolous,7,JJ
8996,bistrostyle,7,NN
8997,trentino,7,NN
8998,mini,7,NN
8999,blancbased,7,VBD
9000,animale,7,JJ
9001,sweetoak,7,NN
9002,sanfords,7,NNS
9003,gassier,7,RBR
9004,bramley,7,RB
9005,broadness,7,JJ
9006,puncheon,7,NN
9007,unpack,7,JJ
9008,clarion,7,NN
9009,mellifluous,7,JJ
9010,roundedness,7,NN
9011,uncracked,7,VBD
9012,aveledas,7,JJ
9013,whimsical,7,JJ
9014,languorous,7,JJ
9015,bordeauxblend,7,NN
9016,provocative,7,JJ
9017,prospect,7,NN
9018,suggests,7,VBZ
9019,platt,7,JJ
9020,compensation,7,NN
9021,vermouth,7,NN
9022,wellapplied,7,VBD
9023,macho,7,JJ
9024,noval,7,JJ
9025,ought,7,MD
9026,nonaggressive,7,JJ
9027,tamp,7,NN
9028,aubebased,7,VBD
9029,fifteen,7,JJ
9030,closure,7,NN
9031,grenachesyrah,7,NN
9032,luna,7,NN
9033,lozenge,7,NN
9034,jammysweet,7,NN
9035,glue,7,JJ
9036,sculpture,7,NN
9037,hem,7,NN
9038,beaulieu,7,NN
9039,lemonmeringue,7,NN
9040,raspberrycranberry,7,NN
9041,unorthodox,7,JJ
9042,chain,7,NN
9043,neglect,7,JJ
9044,negro,7,JJ
9045,clue,7,NN
9046,slinky,7,NN
9047,friendlier,7,NN
9048,stave,7,VBP
9049,banfis,7,VBN
9050,rossi,7,JJ
9051,crystalclear,7,JJ
9052,berries,7,NNS
9053,traditionalstyle,7,VBP
9054,legume,7,JJ
9055,raspberrylike,7,NN
9056,photocopy,7,NN
9057,reliant,7,NN
9058,hedge,7,NN
9059,royce,7,NN
9060,pinkishorange,7,NN
9061,devotion,7,NN
9062,elyse,7,FW
9063,concoct,7,NN
9064,abbott,7,NN
9065,moorman,7,NN
9066,snoqualmie,7,NN
9067,cantaloup,7,NN
9068,tyler,7,NN
9069,lightning,7,VBG
9070,turnoff,7,NN
9071,discernable,7,JJ
9072,lemoncustard,7,NN
9073,weaker,7,NN
9074,scaffold,7,VBD
9075,limey,7,NN
9076,justreleased,7,VBD
9077,pillowysoft,7,JJ
9078,compostlike,7,NN
9079,tidal,7,JJ
9080,greatvalue,7,NN
9081,bourbonbarrel,7,NN
9082,masciarelli,7,VBD
9083,juicily,7,RB
9084,unnecessary,7,JJ
9085,zonin,7,NN
9086,sattui,7,NN
9087,handleys,7,NNS
9088,spritziness,7,JJ
9089,singlevariety,7,NN
9090,deepest,7,JJS
9091,insist,7,NN
9092,sugarplum,7,NN
9093,notquiteripe,7,RB
9094,mediumweighted,7,VBD
9095,merryvale,7,JJ
9096,hogshead,7,JJ
9097,outlive,7,JJ
9098,carabella,7,NN
9099,slant,7,JJ
9100,orangejuice,7,NN
9101,vento,7,NN
9102,predominately,7,RB
9103,sloppy,7,JJ
9104,facile,7,NN
9105,allencompassing,7,VBG
9106,corbières,7,NNS
9107,laetitias,7,JJ
9108,lure,7,NN
9109,liquor,7,NN
9110,laudun,7,JJ
9111,weinviertel,7,NN
9112,prisoner,7,NN
9113,alkalinity,7,NN
9114,peloursin,7,VBP
9115,stubborn,7,JJ
9116,attentiongrabber,7,NN
9117,sourplum,7,NN
9118,bodega,7,NN
9119,tain,7,NN
9120,yin,7,JJ
9121,plumper,7,JJ
9122,contemporary,7,JJ
9123,riverbench,7,NN
9124,aragon,7,NN
9125,richtasting,7,VBG
9126,sorbara,7,JJ
9127,chèvre,7,NN
9128,chapoutiers,7,NNS
9129,mountainside,7,VBP
9130,resound,7,JJ
9131,promote,7,NN
9132,hárslevelu,7,NN
9133,underground,7,IN
9134,danube,7,NN
9135,quintessentially,7,RB
9136,deer,7,VBZ
9137,drag,7,NN
9138,georgia,7,NN
9139,navigate,7,JJ
9140,códega,7,NN
9141,créme,7,NN
9142,scents,7,NNS
9143,fruitsalad,7,VBP
9144,plantain,7,JJ
9145,neat,7,JJ
9146,luisa,7,JJ
9147,outdoors,7,NNS
9148,patiently,7,RB
9149,disappointingly,7,RB
9150,undertake,7,JJ
9151,puréed,7,NN
9152,eversoslight,7,VBD
9153,cinnamoncola,7,NN
9154,dillon,7,NN
9155,roux,7,NN
9156,teetertotter,7,NN
9157,greenwich,7,VBP
9158,radically,7,RB
9159,cinnamonlaced,7,VBN
9160,awake,7,NN
9161,nz,7,JJ
9162,salient,7,NN
9163,schindler,7,NN
9164,temptingly,7,RB
9165,finca,7,JJ
9166,wellknit,7,NN
9167,sector,7,NN
9168,concession,7,NN
9169,aged,7,VBD
9170,mineralfocused,7,JJ
9171,emit,7,NN
9172,dryer,7,NN
9173,sinkstyle,7,JJ
9174,oz,7,JJ
9175,karen,7,NNS
9176,thompson,7,VBP
9177,terracotta,7,JJ
9178,fundamental,7,JJ
9179,n,7,NN
9180,tear,7,NN
9181,professor,7,NN
9182,softbodied,7,VBD
9183,petillance,7,NN
9184,jampack,7,NN
9185,conceive,6,JJ
9186,backward,6,NN
9187,burgundianstyle,6,NN
9188,riche,6,NN
9189,ply,6,NN
9190,caramelization,6,NN
9191,budge,6,NN
9192,melka,6,NN
9193,conegliano,6,NN
9194,valdobbiadene,6,NN
9195,noissues,6,NNS
9196,oneacre,6,VBP
9197,winderlea,6,NN
9198,roselike,6,NN
9199,sensuously,6,RB
9200,strongboned,6,VBD
9201,blackasnight,6,NN
9202,vanillafilled,6,VBN
9203,smudge,6,NN
9204,duarte,6,NN
9205,virgin,6,NN
9206,otis,6,NN
9207,sangria,6,NN
9208,july,6,NN
9209,topping,6,VBG
9210,prince,6,NN
9211,twiceused,6,VBD
9212,swear,6,JJ
9213,han,6,NN
9214,seabreeze,6,NN
9215,gers,6,NNS
9216,chalkboard,6,VBP
9217,solorzano,6,NN
9218,climat,6,NN
9219,sugarlaced,6,VBD
9220,composty,6,JJ
9221,alkaline,6,NN
9222,lemonhoney,6,NN
9223,eucalyptuslike,6,IN
9224,credential,6,JJ
9225,echelon,6,NN
9226,bello,6,NN
9227,montus,6,NN
9228,lato,6,NN
9229,creamysmooth,6,NN
9230,flawless,6,JJ
9231,ghielmetti,6,NN
9232,eyecatching,6,VBG
9233,skinsbased,6,VBN
9234,figeac,6,JJ
9235,outfront,6,JJ
9236,velha,6,NN
9237,springy,6,NN
9238,recognizably,6,RB
9239,dubois,6,VBZ
9240,mariepierre,6,JJ
9241,cologne,6,NN
9242,progression,6,NN
9243,hendry,6,NN
9244,paradox,6,NN
9245,freshshucked,6,VBD
9246,enmesh,6,JJ
9247,uncork,6,NN
9248,allegrini,6,NN
9249,resinlike,6,NN
9250,pedace,6,NN
9251,alternate,6,NN
9252,wellextracted,6,VBD
9253,sauvigon,6,JJ
9254,champagnestyle,6,NN
9255,rhubarblike,6,NN
9256,greentasting,6,VBG
9257,lemoncream,6,NN
9258,mediumbuilt,6,NN
9259,josebased,6,VBD
9260,comartins,6,NNS
9261,socal,6,JJ
9262,marimars,6,NNS
9263,lastingly,6,RB
9264,hotpink,6,VBP
9265,federspiel,6,JJ
9266,beckmeyer,6,NN
9267,wellconcentrated,6,VBD
9268,then,6,RB
9269,chandon,6,JJ
9270,lecole,6,JJ
9271,givry,6,NN
9272,unsung,6,JJ
9273,mediumlight,6,NN
9274,topheavy,6,NNS
9275,grove,6,VBP
9276,scrapey,6,JJ
9277,flor,6,NN
9278,sweepstakes,6,NNS
9279,accordance,6,VBP
9280,cheaper,6,JJR
9281,marnier,6,JJR
9282,carignangarnacha,6,JJ
9283,formation,6,NN
9284,lineage,6,NN
9285,basin,6,NN
9286,granitelike,6,NN
9287,mia,6,NN
9288,fusel,6,JJ
9289,tale,6,NN
9290,ruin,6,NN
9291,bründlmayer,6,IN
9292,deposit,6,NN
9293,condrieus,6,NN
9294,thanks,6,NNS
9295,cabsyrah,6,VBP
9296,faithful,6,JJ
9297,toastedalmond,6,NN
9298,imperial,6,JJ
9299,emphatically,6,RB
9300,blackberrybalsamic,6,JJ
9301,walter,6,NN
9302,sarmassa,6,NN
9303,bellas,6,NNS
9304,gauzy,6,VBP
9305,sulfurous,6,JJ
9306,syrahdominant,6,JJ
9307,zephyr,6,NN
9308,companhia,6,NN
9309,repertoire,6,NN
9310,justdried,6,VBD
9311,yearround,6,JJ
9312,rossseaview,6,NN
9313,nacionals,6,NNS
9314,tech,6,VBP
9315,doughnut,6,NN
9316,remnant,6,NN
9317,grassier,6,NN
9318,sweetfruit,6,NN
9319,healdsburg,6,NN
9320,rosemarycrusted,6,VBD
9321,fieldlike,6,JJ
9322,behemoth,6,DT
9323,graphitelike,6,JJ
9324,seawater,6,NN
9325,unwelcome,6,JJ
9326,nimblefooted,6,JJ
9327,mumms,6,NN
9328,unwooded,6,VBD
9329,critique,6,NN
9330,zenith,6,NN
9331,sublimely,6,RB
9332,seduction,6,NN
9333,puttogether,6,NN
9334,chaume,6,NN
9335,coughdrop,6,NN
9336,châteauneuf,6,VBZ
9337,cerebral,6,JJ
9338,aspire,6,NN
9339,parsnip,6,NN
9340,kundes,6,NNS
9341,surlie,6,VBP
9342,harmless,6,JJ
9343,drappier,6,NN
9344,invariably,6,RB
9345,nutshell,6,RB
9346,vespa,6,JJ
9347,staunchly,6,RB
9348,poeira,6,VBP
9349,overmatched,6,JJ
9350,curranty,6,NN
9351,welltoasted,6,VBD
9352,sore,6,RB
9353,centerpiece,6,JJ
9354,rhônish,6,JJ
9355,onedimensionality,6,NN
9356,lompocbased,6,VBD
9357,lurtons,6,NNS
9358,ambassador,6,VBP
9359,mad,6,JJ
9360,coffeebean,6,JJ
9361,innocent,6,NN
9362,apricotty,6,RB
9363,cod,6,JJ
9364,korean,6,JJ
9365,shepherd,6,NN
9366,triumphant,6,JJ
9367,cute,6,NN
9368,mer,6,NN
9369,blackpeppery,6,NN
9370,highpowered,6,VBD
9371,shuck,6,JJ
9372,tentative,6,JJ
9373,graciously,6,RB
9374,sonomabased,6,JJ
9375,rural,6,JJ
9376,drab,6,NN
9377,unsophisticated,6,VBN
9378,funkier,6,RBR
9379,handshake,6,NN
9380,limescented,6,VBD
9381,withdraw,6,JJ
9382,galician,6,JJ
9383,dizzy,6,NN
9384,leonettis,6,NN
9385,strasser,6,NN
9386,fruitjuice,6,NN
9387,jennifer,6,NN
9388,pepperlaced,6,VBD
9389,ramos,6,JJ
9390,classedgrowth,6,NN
9391,hautbailly,6,RB
9392,napaesque,6,JJ
9393,sundance,6,NN
9394,woodgrain,6,NN
9395,der,6,NN
9396,superlative,6,JJ
9397,cohn,6,NN
9398,grandeur,6,NN
9399,warmish,6,JJ
9400,whirlwind,6,NN
9401,siduris,6,NN
9402,typo,6,NN
9403,endear,6,VBP
9404,yellowfruited,6,VBN
9405,hamilton,6,NN
9406,angelo,6,NN
9407,immediacy,6,NN
9408,zamora,6,NNP
9409,dual,6,JJ
9410,gluggable,6,JJ
9411,enlighten,6,JJ
9412,chemise,6,NN
9413,allstar,6,NN
9414,toso,6,NN
9415,slouch,6,JJ
9416,consumerfriendly,6,RB
9417,grapefruitdriven,6,JJ
9418,rhonestyle,6,JJ
9419,judd,6,NN
9420,stillyouthful,6,JJ
9421,ketchup,6,NN
9422,unlock,6,NN
9423,cinnamonscented,6,VBD
9424,céline,6,JJ
9425,frédéric,6,JJ
9426,tara,6,NN
9427,gomez,6,NN
9428,melville,6,FW
9429,mallorcan,6,JJ
9430,cyprus,6,NN
9431,ms,6,NN
9432,tonguescraping,6,VBG
9433,skinny,6,JJ
9434,verdots,6,NNS
9435,threshhold,6,VBD
9436,vinhos,6,NN
9437,predictable,6,JJ
9438,terlato,6,NN
9439,punset,6,NN
9440,supercrisp,6,NN
9441,adept,6,IN
9442,cinnamonclove,6,NN
9443,peachesandcream,6,NN
9444,lavarock,6,NN
9445,eddy,6,VBP
9446,benedict,6,JJ
9447,calina,6,NN
9448,cloudlike,6,NN
9449,cinnamondusted,6,VBD
9450,faithfully,6,RB
9451,albana,6,JJ
9452,classicallystyled,6,VBD
9453,adore,6,RB
9454,limetoned,6,VBN
9455,antonia,6,RP
9456,decisive,6,JJ
9457,mentholdriven,6,NN
9458,freshsliced,6,VBD
9459,anam,6,RB
9460,shirazviognier,6,JJR
9461,tensleys,6,NNS
9462,quincy,6,VBP
9463,telegraph,6,NN
9464,aniseflecked,6,VBD
9465,umamidriven,6,JJ
9466,cranberryish,6,JJ
9467,joshua,6,NN
9468,foudres,6,NNS
9469,blackberrry,6,VBP
9470,se,6,JJ
9471,speciality,6,NN
9472,londe,6,NN
9473,raisinlike,6,NN
9474,fontana,6,VBP
9475,flirtatious,6,JJ
9476,joyously,6,RB
9477,icestyle,6,JJ
9478,altamira,6,JJ
9479,catena,6,NN
9480,spofford,6,NN
9481,isabelle,6,NN
9482,inhabit,6,NN
9483,champion,6,NN
9484,saar,6,NN
9485,portiness,6,NN
9486,drain,6,NN
9487,dwarf,6,NN
9488,soufflé,6,NN
9489,dwell,6,NN
9490,rotten,6,VB
9491,schramsbergs,6,JJ
9492,falcone,6,NN
9493,favorable,6,JJ
9494,saggi,6,JJ
9495,checkpoint,6,NN
9496,painfully,6,RB
9497,renovate,6,JJ
9498,feet,6,NNS
9499,furniture,6,NN
9500,mammoth,6,CC
9501,hamlet,6,NN
9502,creamfilled,6,VBD
9503,casey,6,JJ
9504,barbecuestyle,6,JJ
9505,operative,6,JJ
9506,logical,6,JJ
9507,extension,6,NN
9508,nontraditional,6,JJ
9509,infant,6,NN
9510,brutish,6,NN
9511,internationallystyled,6,VBD
9512,melnik,6,FW
9513,va,6,FW
9514,chanson,6,NN
9515,fluorescent,6,NN
9516,jeanmichel,6,NN
9517,salento,6,NN
9518,backside,6,NN
9519,benedictine,6,NN
9520,cesare,6,NN
9521,belt,6,VBD
9522,gruff,6,JJ
9523,cricket,6,NN
9524,muskateller,6,NN
9525,oaktinged,6,VBD
9526,medallion,6,NN
9527,raspingly,6,RB
9528,chouilly,6,RB
9529,bittercherry,6,JJ
9530,vacheron,6,NN
9531,sauvingon,6,NN
9532,messy,6,NN
9533,christi,6,NN
9534,coro,6,NN
9535,avize,6,VB
9536,individually,6,RB
9537,doro,6,JJ
9538,largescale,6,JJ
9539,underlayer,6,NN
9540,oven,6,RB
9541,rusacks,6,VBZ
9542,inevitable,6,JJ
9543,alorna,6,JJ
9544,brazilian,6,JJ
9545,blackberryjuice,6,NN
9546,amp,6,NN
9547,blackest,6,JJS
9548,aviron,6,NN
9549,stolpman,6,JJ
9550,stewart,6,JJ
9551,saltandpepper,6,NN
9552,triguedina,6,NN
9553,sin,6,NN
9554,ltd,6,NN
9555,brett,6,NN
9556,pineau,6,NN
9557,daunis,6,NN
9558,blackstrap,6,NN
9559,tokar,6,NN
9560,markus,6,NN
9561,delorme,6,NN
9562,june,6,NN
9563,paddock,6,NN
9564,henkel,6,NN
9565,mom,6,NN
9566,kingston,6,NN
9567,unencumbered,6,VBD
9568,sigma,6,JJ
9569,dijonclone,6,NN
9570,nag,6,NN
9571,rainsoaked,6,VBD
9572,frères,6,NNS
9573,constitution,6,NN
9574,vitis,6,NN
9575,vinifera,6,NN
9576,consequently,6,RB
9577,rhubarby,6,VBZ
9578,unforgiving,6,JJ
9579,precipice,6,NN
9580,deceive,6,JJ
9581,grease,6,NN
9582,heathcote,6,NN
9583,sebastiano,6,NN
9584,susumaniello,6,NN
9585,fo,6,NN
9586,melonlike,6,IN
9587,bestknown,6,JJ
9588,alentejano,6,NN
9589,fournier,6,RBR
9590,honestly,6,RB
9591,distinguishable,6,JJ
9592,coolcoast,6,NN
9593,bric,6,JJ
9594,pinesap,6,NN
9595,anyones,6,NNS
9596,unruly,6,RB
9597,spoon,6,VBP
9598,bricked,6,JJ
9599,fourthgeneration,6,NN
9600,deem,6,VBP
9601,lorraine,6,JJ
9602,carlson,6,NN
9603,longaging,6,VBG
9604,provocatively,6,RB
9605,beckstoffers,6,NNS
9606,limitedrelease,6,VBP
9607,clearer,6,JJR
9608,tenacity,6,NN
9609,backbeat,6,NN
9610,underplay,6,JJ
9611,absent,6,NN
9612,fellugas,6,NN
9613,ted,6,VBD
9614,velvetysoft,6,NNS
9615,gatosbased,6,VBN
9616,accessibly,6,RB
9617,scheid,6,NN
9618,butterbased,6,VBD
9619,sandra,6,RB
9620,scarletred,6,VBN
9621,gigantically,6,RB
9622,magdelaine,6,JJ
9623,saintemilions,6,NNS
9624,demerara,6,VBP
9625,rediscover,6,RB
9626,zigzag,6,RB
9627,invasive,6,JJ
9628,belcier,6,NN
9629,sincere,6,RB
9630,ukiah,6,JJ
9631,mouthfeels,6,NNS
9632,synthesis,6,VBP
