,Terms,Freq
9282,carignangarnacha,6
9283,formation,6
9284,lineage,6
9285,basin,6
9286,granitelike,6
9287,mia,6
9288,fusel,6
9289,tale,6
9290,ruin,6
9291,bründlmayer,6
9292,deposit,6
9293,condrieus,6
9294,thanks,6
9295,cabsyrah,6
9296,faithful,6
9297,toastedalmond,6
9298,imperial,6
9299,emphatically,6
9300,blackberrybalsamic,6
9301,walter,6
9302,sarmassa,6
9303,bellas,6
9304,gauzy,6
9305,sulfurous,6
9306,syrahdominant,6
9307,zephyr,6
9308,companhia,6
9309,repertoire,6
9310,justdried,6
9311,yearround,6
9312,rossseaview,6
9313,nacionals,6
9314,tech,6
9315,doughnut,6
9316,remnant,6
9317,grassier,6
9318,sweetfruit,6
9319,healdsburg,6
9320,rosemarycrusted,6
9321,fieldlike,6
9322,behemoth,6
9323,graphitelike,6
9324,seawater,6
9325,unwelcome,6
9326,nimblefooted,6
9327,mumms,6
9328,unwooded,6
9329,critique,6
9330,zenith,6
9331,sublimely,6
9332,seduction,6
9333,puttogether,6
9334,chaume,6
9335,coughdrop,6
9336,châteauneuf,6
9337,cerebral,6
9338,aspire,6
9339,parsnip,6
9340,kundes,6
9341,surlie,6
9342,harmless,6
9343,drappier,6
9344,invariably,6
9345,nutshell,6
9346,vespa,6
9347,staunchly,6
9348,poeira,6
9349,overmatched,6
9350,curranty,6
9351,welltoasted,6
9352,sore,6
9353,centerpiece,6
9354,rhônish,6
9355,onedimensionality,6
9356,lompocbased,6
9357,lurtons,6
9358,ambassador,6
9359,mad,6
9360,coffeebean,6
9361,innocent,6
9362,apricotty,6
9363,cod,6
9364,korean,6
9365,shepherd,6
9366,triumphant,6
9367,cute,6
9368,mer,6
9369,blackpeppery,6
9370,highpowered,6
9371,shuck,6
9372,tentative,6
9373,graciously,6
9374,sonomabased,6
9375,rural,6
9376,drab,6
9377,unsophisticated,6
9378,funkier,6
9379,handshake,6
9380,limescented,6
9381,withdraw,6
9382,galician,6
9383,dizzy,6
9384,leonettis,6
9385,strasser,6
9386,fruitjuice,6
9387,jennifer,6
9388,pepperlaced,6
9389,ramos,6
9390,classedgrowth,6
9391,hautbailly,6
9392,napaesque,6
9393,sundance,6
9394,woodgrain,6
9395,der,6
9396,superlative,6
9397,cohn,6
9398,grandeur,6
9399,warmish,6
9400,whirlwind,6
9401,siduris,6
9402,typo,6
9403,endear,6
9404,yellowfruited,6
9405,hamilton,6
9406,angelo,6
9407,immediacy,6
9408,zamora,6
9409,dual,6
9410,gluggable,6
9411,enlighten,6
9412,chemise,6
9413,allstar,6
9414,toso,6
9415,slouch,6
9416,consumerfriendly,6
9417,grapefruitdriven,6
9418,rhonestyle,6
9419,judd,6
9420,stillyouthful,6
9421,ketchup,6
9422,unlock,6
9423,cinnamonscented,6
9424,céline,6
9425,frédéric,6
9426,tara,6
9427,gomez,6
9428,melville,6
9429,mallorcan,6
9430,cyprus,6
9431,ms,6
9432,tonguescraping,6
9433,skinny,6
9434,verdots,6
9435,threshhold,6
9436,vinhos,6
9437,predictable,6
9438,terlato,6
9439,punset,6
9440,supercrisp,6
9441,adept,6
9442,cinnamonclove,6
9443,peachesandcream,6
9444,lavarock,6
9445,eddy,6
9446,benedict,6
9447,calina,6
9448,cloudlike,6
9449,cinnamondusted,6
9450,faithfully,6
9451,albana,6
9452,classicallystyled,6
9453,adore,6
9454,limetoned,6
9455,antonia,6
9456,decisive,6
9457,mentholdriven,6
9458,freshsliced,6
9459,anam,6
9460,shirazviognier,6
9461,tensleys,6
9462,quincy,6
9463,telegraph,6
9464,aniseflecked,6
9465,umamidriven,6
9466,cranberryish,6
9467,joshua,6
9468,foudres,6
9469,blackberrry,6
9470,se,6
9471,speciality,6
9472,londe,6
9473,raisinlike,6
9474,fontana,6
9475,flirtatious,6
9476,joyously,6
9477,icestyle,6
9478,altamira,6
9479,catena,6
9480,spofford,6
9481,isabelle,6
9482,inhabit,6
9483,champion,6
9484,saar,6
9485,portiness,6
9486,drain,6
9487,dwarf,6
9488,soufflé,6
9489,dwell,6
9490,rotten,6
9491,schramsbergs,6
9492,falcone,6
9493,favorable,6
9494,saggi,6
9495,checkpoint,6
9496,painfully,6
9497,renovate,6
9498,feet,6
9499,furniture,6
9500,mammoth,6
9501,hamlet,6
9502,creamfilled,6
9503,casey,6
9504,barbecuestyle,6
9505,operative,6
9506,logical,6
9507,extension,6
9508,nontraditional,6
9509,infant,6
9510,brutish,6
9511,internationallystyled,6
9512,melnik,6
9513,va,6
9514,chanson,6
9515,fluorescent,6
9516,jeanmichel,6
9517,salento,6
9518,backside,6
9519,benedictine,6
9520,cesare,6
9521,belt,6
9522,gruff,6
9523,cricket,6
9524,muskateller,6
9525,oaktinged,6
9526,medallion,6
9527,raspingly,6
9528,chouilly,6
9529,bittercherry,6
9530,vacheron,6
9531,sauvingon,6
9532,messy,6
9533,christi,6
9534,coro,6
9535,avize,6
9536,individually,6
9537,doro,6
9538,largescale,6
9539,underlayer,6
9540,oven,6
9541,rusacks,6
9542,inevitable,6
9543,alorna,6
9544,brazilian,6
9545,blackberryjuice,6
9546,amp,6
9547,blackest,6
9548,aviron,6
9549,stolpman,6
9550,stewart,6
9551,saltandpepper,6
9552,triguedina,6
9553,sin,6
9554,ltd,6
9555,brett,6
9556,pineau,6
9557,daunis,6
9558,blackstrap,6
9559,tokar,6
9560,markus,6
9561,delorme,6
9562,june,6
9563,paddock,6
9564,henkel,6
9565,mom,6
9566,kingston,6
9567,unencumbered,6
9568,sigma,6
9569,dijonclone,6
9570,nag,6
9571,rainsoaked,6
9572,frères,6
9573,constitution,6
9574,vitis,6
9575,vinifera,6
9576,consequently,6
9577,rhubarby,6
9578,unforgiving,6
9579,precipice,6
9580,deceive,6
9581,grease,6
9582,heathcote,6
9583,sebastiano,6
9584,susumaniello,6
9585,fo,6
9586,melonlike,6
9587,bestknown,6
9588,alentejano,6
9589,fournier,6
9590,honestly,6
9591,distinguishable,6
9592,coolcoast,6
9593,bric,6
9594,pinesap,6
9595,anyones,6
9596,unruly,6
9597,spoon,6
9598,bricked,6
9599,fourthgeneration,6
9600,deem,6
9601,lorraine,6
9602,carlson,6
9603,longaging,6
9604,provocatively,6
9605,beckstoffers,6
9606,limitedrelease,6
9607,clearer,6
9608,tenacity,6
9609,backbeat,6
9610,underplay,6
9611,absent,6
9612,fellugas,6
9613,ted,6
9614,velvetysoft,6
9615,gatosbased,6
9616,accessibly,6
9617,scheid,6
9618,butterbased,6
9619,sandra,6
9620,scarletred,6
9621,gigantically,6
9622,magdelaine,6
9623,saintemilions,6
9624,demerara,6
9625,rediscover,6
9626,zigzag,6
9627,invasive,6
9628,belcier,6
9629,sincere,6
9630,ukiah,6
9631,mouthfeels,6
9632,synthesis,6
9633,attach,6
9634,dupré,6
9635,jay,6
9636,francisca,6
9637,julie,6
9638,overmanipulated,6
9639,oilytextured,6
9640,sauvy,6
9641,durif,6
9642,danie,6
9643,cwg,6
9644,supersized,6
9645,hinder,6
9646,pimiento,6
9647,etude,6
9648,superdelicious,6
9649,weintraub,6
9650,emiliaromagna,6
9651,nodosage,6
9652,copperhued,6
9653,oakaccented,6
9654,sensitivity,6
9655,lightpink,6
9656,sineanns,6
9657,barsac,6
9658,weld,6
9659,edouard,6
9660,li,6
9661,recurrence,6
9662,alvaro,6
9663,flowershop,6
9664,fonréaud,6
9665,hypnotic,6
9666,mau,6
9667,lombardy,6
9668,slavonian,6
9669,bergström,6
9670,imposingly,6
9671,baroque,6
9672,chasselas,6
9673,grillé,6
9674,leesbased,6
9675,garnatxa,6
9676,chêne,6
9677,vise,6
9678,stiffly,6
9679,brutal,6
9680,barrelinduced,6
9681,hightone,6
9682,transmute,6
9683,nicole,6
9684,caviar,6
9685,scrutiny,6
9686,buttermilk,6
9687,steepest,6
9688,personify,6
9689,zinlike,6
9690,applepear,6
9691,regularlabel,6
9692,highpriced,6
9693,pretend,6
9694,alte,6
9695,columbard,6
9696,cortado,6
9697,hitch,6
9698,unrelenting,6
9699,singlequinta,6
9700,reddishorange,6
9701,pill,6
9702,winemakerowner,6
9703,modernstyled,6
9704,runny,6
9705,justoffdry,6
9706,edmeades,6
9707,nathan,6
9708,dear,6
9709,enemy,6
9710,logo,6
9711,jubilant,6
9712,kionas,6
9713,thrillingly,6
9714,gossamerlight,6
9715,roquefort,6
9716,vicente,6
9717,candiedberry,6
9718,visible,6
9719,loyal,6
9720,cinnamonlike,6
9721,jadots,6
9722,redpurple,6
9723,zippiness,6
9724,slap,6
9725,parfait,6
9726,sizzler,6
9727,roastytoasty,6
9728,freshcracked,6
9729,flouret,6
9730,gilles,6
9731,delivers,6
9732,barbie,6
9733,wraparound,6
9734,tamarack,6
9735,greengold,6
9736,tropicalfruitflavored,6
9737,millennial,6
9738,argyle,6
9739,harden,6
9740,andres,6
9741,ibarra,6
9742,cardinale,6
9743,taransaud,6
9744,wellwoven,6
9745,aurilia,6
9746,hummingbird,6
9747,latté,6
9748,twobarrel,6
9749,peaches,6
9750,organization,6
9751,loaf,6
9752,jon,6
9753,revere,6
9754,encrust,6
9755,blancdominated,6
9756,subtract,6
9757,savagnin,6
9758,babcocks,6
9759,gerbac,6
9760,abate,6
9761,fetel,6
9762,quartet,6
9763,rubberyfeeling,6
9764,overdrive,6
9765,stylishness,6
9766,mellot,6
9767,sancerres,6
9768,dominus,6
9769,nurture,6
9770,hoage,6
9771,unheardof,6
9772,solano,6
9773,plumjuice,6
9774,monts,6
9775,damnés,6
9776,anjoupear,6
9777,gratin,6
9778,scooteney,6
9779,callet,6
9780,capacity,6
9781,legit,6
9782,harken,6
9783,macau,6
9784,savennières,6
9785,rhônebased,6
9786,visit,6
9787,nonreserve,6
9788,edgier,6
9789,discipline,6
9790,whitefloral,6
9791,rue,6
9792,salamino,6
9793,recommendable,6
9794,sightly,6
9795,riservas,6
9796,birthplace,6
9797,quaffability,6
9798,resurface,6
9799,reminiscence,6
9800,kurtzman,6
9801,h,6
9802,aniselike,6
9803,admirer,6
9804,modify,6
9805,charcoalgrilled,6
9806,muskat,6
9807,favorably,6
9808,dabble,6
9809,cabernetcarmenère,6
9810,blueberryblackberry,6
9811,plavac,6
9812,mali,6
9813,september,6
9814,são,6
9815,pernandvergelesses,6
9816,hectare,6
9817,cowhide,6
9818,noise,6
9819,nettley,6
9820,victim,6
9821,sparker,6
9822,thud,6
9823,juan,6
9824,neusiedl,6
9825,singleestate,6
9826,cherryscented,6
9827,waipara,6
9828,subsequently,6
9829,gouda,6
9830,plumfruit,6
9831,broker,6
9832,continuity,6
9833,modernity,6
9834,mourvédre,6
9835,labégorce,6
9836,expanse,6
9837,unremarkable,6
9838,comingling,6
9839,greeninfused,6
9840,splendidly,6
9841,madness,6
9842,skillful,6
9843,brickle,6
9844,starr,6
9845,ceder,6
9846,cal,6
9847,familyfarmed,6
9848,boschis,6
9849,churchill,6
9850,leo,6
9851,singer,6
9852,pan,6
9853,topnotes,6
9854,temeculas,6
9855,catpee,6
9856,montalieu,6
9857,violetlike,6
9858,monastrells,6
9859,lentil,6
9860,adelsheims,6
9861,raspberries,6
9862,spicelaced,6
9863,halfbottle,6
9864,cuesta,6
9865,nostril,6
9866,oakfree,6
9867,pumpedup,6
9868,reddishpink,6
9869,grèves,6
9870,grudgingly,6
9871,barrelderived,6
9872,acorn,6
9873,pretense,6
9874,threeplus,6
9875,singe,6
9876,euro,6
9877,dynamism,6
9878,biondisanti,6
9879,ghost,6
9880,latin,6
9881,alp,6
9882,blacklicorice,6
9883,cheeserind,6
9884,teaflavored,6
9885,charredwood,6
9886,spongey,6
9887,romitorio,6
9888,blackberrylaced,6
9889,beaumont,6
9890,elli,6
9891,acidinspired,6
9892,immigrant,6
9893,grenouilles,6
9894,rumble,6
9895,pig,6
9896,flavorpacked,6
9897,plunge,6
9898,thekla,6
9899,teasingly,6
9900,cristal,6
9901,everybody,6
9902,pepi,6
9903,galets,6
9904,northstar,6
9905,lemontea,6
9906,jaboulets,6
9907,greenolive,6
9908,brisket,6
9909,josef,6
9910,redder,6
9911,polenta,6
9912,antinoris,6
9913,ferrini,6
9914,seldomseen,6
9915,castiglione,6
9916,cao,6
9917,watsonville,6
9918,amberhued,6
9919,vms,6
9920,nickname,6
9921,mandarine,6
9922,odor,6
9923,unevolved,6
9924,moldova,6
9925,ferguson,6
9926,rosellas,6
9927,folonari,6
9928,pearfruit,6
9929,likably,6
9930,dulon,6
9931,welltextured,6
9932,salmonhued,6
9933,flan,6
9934,ribeira,6
9935,unnaturally,6
9936,cabernetfriendly,6
9937,gambler,6
9938,whiskey,6
9939,superextracted,6
9940,stanly,6
9941,paumanoks,6
9942,haycolored,6
9943,broody,6
9944,blackpurple,6
9945,patron,6
9946,static,6
9947,bakery,6
9948,bertani,6
9949,infamous,6
9950,loaded,6
9951,orangetinged,6
9952,dryfruit,6
9953,palatecleaning,6
9954,shale,6
9955,bastardo,6
9956,merryvales,6
9957,oldwood,6
9958,chewier,6
9959,aurora,6
9960,amarolike,6
9961,smoothest,6
9962,wellfocused,6
9963,sunflower,6
9964,unbroken,6
9965,negrette,6
9966,craig,6
9967,synthetic,6
9968,verdeca,6
9969,locally,6
9970,listán,6
9971,ultradark,6
9972,gentile,6
9973,characterise,6
9974,hardpounding,6
9975,arnaud,6
9976,wellhandled,6
9977,gel,6
9978,lowlevel,6
9979,year,6
9980,f,6
9981,oakrich,6
9982,clampdown,6
9983,rave,6
9984,iconoclastic,6
9985,lovall,6
9986,engineer,6
9987,invade,6
9988,gbw,6
9989,buena,6
9990,gimonnet,6
9991,maturetasting,6
9992,ambient,6
9993,cerequio,6
9994,mellower,6
9995,lafonts,6
9996,unrelieved,6
9997,donna,6
9998,pineapplelike,6
9999,malo,6
10000,spicedplum,6
10001,environmental,6
10002,embolden,6
10003,holy,6
10004,béchamel,6
10005,peartart,6
10006,doughiness,6
10007,duly,6
10008,indeterminate,5
10009,redbordeaux,5
10010,mediumgold,5
10011,no,5
10012,rainonslate,5
10013,ornate,5
10014,duttons,5
10015,honeylemon,5
10016,citrusdominated,5
10017,jerry,5
10018,campari,5
10019,forrest,5
10020,homeland,5
10021,celebrity,5
10022,fabled,5
10023,farreaching,5
10024,raspberrycandy,5
10025,stella,5
10026,wittmanns,5
10027,elkton,5
10028,highestelevation,5
10029,headpruned,5
10030,pozo,5
10031,exalt,5
10032,seedless,5
10033,finefooted,5
10034,cuyama,5
10035,montredon,5
10036,mcwilliams,5
10037,discussion,5
10038,forebode,5
10039,sauvignoncabernet,5
10040,fonterutoli,5
10041,whitestone,5
10042,dampness,5
10043,generoustasting,5
10044,carpentry,5
10045,kj,5
10046,submit,5
10047,breathless,5
10048,roserock,5
10049,carignanled,5
10050,yingyang,5
10051,creamtextured,5
10052,kelp,5
10053,unoaky,5
10054,trunk,5
10055,hoppes,5
10056,earthquake,5
10057,charitably,5
10058,nutmeglike,5
10059,sambuca,5
10060,topnote,5
10061,wrest,5
10062,zac,5
10063,brumont,5
10064,chambollemusigny,5
10065,parch,5
10066,laplace,5
10067,fascination,5
10068,pirouette,5
10069,sémillion,5
10070,tamarez,5
10071,papery,5
10072,tommasi,5
10073,goulash,5
10074,intersection,5
10075,stress,5
10076,smoothfeeling,5
10077,shove,5
10078,viurachardonnay,5
10079,offkilter,5
10080,through,5
10081,luxe,5
10082,measurable,5
10083,margin,5
10084,mercuès,5
10085,correspond,5
10086,midnightblack,5
10087,viole,5
10088,monforte,5
10089,cornish,5
10090,giacomo,5
10091,grimaldi,5
10092,caramelvanilla,5
10093,yellowtinted,5
10094,malagousia,5
10095,pineappleguava,5
10096,ruché,5
10097,andy,5
10098,herbinflected,5
10099,sweetpea,5
10100,toros,5
10101,herbaccented,5
10102,skew,5
10103,lighterframed,5
10104,coke,5
10105,grandlieu,5
10106,italico,5
10107,distributor,5
10108,zach,5
10109,ironoxide,5
10110,patchouli,5
10111,fe,5
10112,cherryblackberry,5
10113,unnecessarily,5
10114,tuttifruity,5
10115,carne,5
10116,asada,5
10117,walch,5
10118,tarlike,5
10119,vieilles,5
10120,freshfeeling,5
10121,meltinthemouth,5
10122,pillar,5
10123,oystershell,5
10124,code,5
10125,continuously,5
10126,texure,5
10127,bus,5
10128,beringers,5
10129,lola,5
10130,confusingly,5
10131,ervamoira,5
10132,spearhead,5
10133,enrico,5
10134,clarke,5
10135,joan,5
10136,herbacious,5
10137,firestone,5
10138,pellet,5
10139,serre,5
10140,pesticide,5
10141,mencia,5
10142,drawnin,5
10143,foreign,5
10144,opentextured,5
10145,flexible,5
10146,vi,5
10147,news,5
10148,bond,5
10149,advisable,5
10150,convent,5
10151,tomar,5
10152,leaden,5
10153,percolate,5
10154,wairau,5
10155,genie,5
10156,boizel,5
10157,toastednut,5
10158,reverse,5
10159,pinkred,5
10160,chehalems,5
10161,overlie,5
10162,wayfarer,5
10163,winside,5
10164,anne,5
10165,parafada,5
10166,jonathan,5
10167,quart,5
10168,inert,5
10169,californiabased,5
10170,dassault,5
10171,witness,5
10172,riverbend,5
10173,freak,5
10174,user,5
10175,paloumey,5
10176,mendozas,5
10177,carefree,5
10178,admit,5
10179,mintinfused,5
10180,lyon,5
10181,profuse,5
10182,airen,5
10183,sean,5
10184,cailloux,5
10185,testimony,5
10186,shafers,5
10187,illustration,5
10188,promisingly,5
10189,wherever,5
10190,redlicorice,5
10191,accolade,5
10192,vos,5
10193,tosco,5
10194,offflavors,5
10195,sag,5
10196,fils,5
10197,superlight,5
10198,driedberry,5
10199,mitch,5
10200,territorial,5
10201,vinyl,5
10202,novys,5
10203,seasonal,5
10204,cuvee,5
10205,franciscobased,5
10206,candied,5
10207,confected,5
10208,dama,5
10209,berrylaced,5
10210,ott,5
10211,shrubbery,5
10212,ah,5
10213,blacktop,5
10214,riddle,5
10215,cookielike,5
10216,regala,5
10217,piny,5
10218,angela,5
10219,bomber,5
10220,panther,5
10221,rimauresq,5
10222,overenthusiastic,5
10223,hierarchy,5
10224,reckon,5
10225,hardtodefine,5
10226,satchel,5
10227,task,5
10228,ehren,5
10229,bannockburn,5
10230,barossas,5
10231,duorum,5
10232,gravellike,5
10233,mocalis,5
10234,mura,5
10235,prelude,5
10236,butteriness,5
10237,confirmation,5
10238,fruitbowl,5
10239,dried,5
10240,sbragias,5
10241,tropicalfruited,5
10242,glycerol,5
10243,cosset,5
10244,buttercrusted,5
10245,chrystal,5
10246,dwelley,5
10247,pleasurably,5
10248,resilient,5
10249,supremacy,5
10250,meaningful,5
10251,interact,5
10252,shirazbased,5
10253,nonfruit,5
10254,endeavor,5
10255,radish,5
10256,daikon,5
10257,herbdriven,5
10258,sweetfruited,5
10259,tilapia,5
10260,hobo,5
10261,bortolis,5
10262,pleasantry,5
10263,syrahdominated,5
10264,shorter,5
10265,novy,5
10266,itata,5
10267,harshly,5
10268,jarvis,5
10269,enjoyably,5
10270,tourism,5
10271,everevolving,5
10272,piccini,5
10273,switch,5
10274,noiresque,5
10275,craze,5
10276,wrath,5
10277,vanillasoaked,5
10278,superjuicy,5
10279,exclamation,5
10280,acreage,5
10281,gleam,5
10282,fruitlaced,5
10283,gong,5
10284,crayon,5
10285,pickberry,5
10286,underperform,5
10287,jarviss,5
10288,francdominant,5
10289,leafier,5
10290,mondeuse,5
10291,zestlike,5
10292,slicedapple,5
10293,scandal,5
10294,sauvignoncarmenère,5
10295,shelve,5
10296,persuasive,5
10297,chermette,5
10298,savoie,5
10299,bookwalter,5
10300,redfruitdominated,5
10301,huber,5
10302,dryaged,5
10303,prugnolo,5
10304,ragu,5
10305,symmetry,5
10306,monotonous,5
10307,saranty,5
10308,tastewise,5
10309,cope,5
10310,olazabal,5
10311,rrv,5
10312,castelnuovo,5
10313,berardenga,5
10314,cherries,5
10315,pearlike,5
10316,brandnew,5
10317,planeta,5
10318,trinity,5
10319,vestige,5
10320,everlasting,5
10321,irish,5
10322,tube,5
10323,chocolatecoated,5
10324,lemontinged,5
10325,valtellina,5
10326,basement,5
10327,carafe,5
10328,misolike,5
10329,apologize,5
10330,appellationblend,5
10331,visceral,5
10332,edgar,5
10333,sitespecific,5
10334,candyflavored,5
10335,stratum,5
10336,armada,5
10337,breathtakingly,5
10338,justripeenough,5
10339,drummer,5
10340,cadeau,5
10341,hog,5
10342,guedes,5
10343,sébastien,5
10344,oceanview,5
10345,arianses,5
10346,obliterate,5
10347,intricacy,5
10348,sake,5
10349,femininity,5
10350,purefruited,5
10351,proverbial,5
10352,glenoras,5
10353,remembrance,5
10354,periquita,5
10355,cherrytomato,5
10356,ripeberry,5
10357,prosciuttowrapped,5
10358,botrytisaffected,5
10359,paola,5
10360,croix,5
10361,showing,5
10362,shatter,5
10363,conti,5
10364,recover,5
10365,encantada,5
10366,gallery,5
10367,twiggy,5
10368,mcfaddens,5
10369,rufete,5
10370,masseto,5
10371,mumm,5
10372,bacalhôa,5
10373,monvigliero,5
10374,tokalon,5
10375,lastly,5
10376,chocolatetinged,5
10377,stork,5
10378,blackcurrantflavored,5
10379,wetdog,5
10380,compostable,5
10381,durant,5
10382,marguerite,5
10383,cullens,5
10384,customer,5
10385,michele,5
10386,peachdriven,5
10387,lodge,5
10388,wellframed,5
10389,approval,5
10390,glycerinedriven,5
10391,tavola,5
10392,straightshooting,5
10393,lacryma,5
10394,horseshoe,5
10395,heidsieck,5
10396,welldistributed,5
10397,oakkissed,5
10398,infinitely,5
10399,mediumboded,5
10400,gibbston,5
10401,dedication,5
10402,fruitacid,5
10403,sinfully,5
10404,amy,5
10405,rabajà,5
10406,riva,5
10407,mazzoccos,5
10408,sashimi,5
10409,averse,5
10410,citrusfilled,5
10411,jigar,5
10412,collins,5
10413,berryladen,5
10414,unfriendly,5
10415,indifferent,5
10416,halo,5
10417,ultrapremium,5
10418,ferraris,5
10419,stillclosed,5
10420,morillon,5
10421,preside,5
10422,syruplike,5
10423,lefore,5
10424,bonbon,5
10425,grateful,5
10426,bug,5
10427,expire,5
10428,indulge,5
10429,boom,5
10430,geology,5
10431,darkpurple,5
10432,lowpriced,5
10433,screwcapped,5
10434,sweetsavory,5
10435,cheeselike,5
10436,asianpear,5
10437,mentor,5
10438,creston,5
10439,uvas,5
10440,lynch,5
10441,dialedhigh,5
10442,réserve,5
10443,flit,5
10444,macphails,5
10445,matés,5
10446,making,5
10447,jus,5
10448,expressively,5
10449,elderflowers,5
10450,marl,5
10451,redhot,5
10452,seaspray,5
10453,catalan,5
10454,collin,5
10455,ventoux,5
10456,insalata,5
10457,cole,5
10458,ta,5
10459,messias,5
10460,vienne,5
10461,cedarville,5
10462,bitterorange,5
10463,chug,5
10464,vaulorent,5
10465,lascombes,5
10466,tablas,5
10467,charmless,5
10468,contis,5
10469,incongruent,5
10470,revelatory,5
10471,needlelike,5
10472,grauburgunder,5
10473,skinlike,5
10474,listen,5
10475,villard,5
10476,fruitpunchy,5
10477,comingtogether,5
10478,windrow,5
10479,moreira,5
10480,orangemarmalade,5
10481,conviction,5
10482,chamber,5
10483,engulf,5
10484,galzignato,5
10485,wagram,5
10486,bouchards,5
10487,broadbent,5
10488,undoubted,5
10489,cannabis,5
10490,stiffer,5
10491,historical,5
10492,gentlest,5
10493,madeleine,5
10494,sainte,5
10495,complexion,5
10496,blt,5
10497,cher,5
10498,greenfruited,5
10499,mainstay,5
10500,marcel,5
10501,information,5
10502,sharplydefined,5
10503,lemondriven,5
10504,adult,5
10505,benchland,5
10506,cristiano,5
10507,harper,5
10508,blockdesignate,5
10509,biancolella,5
10510,adhere,5
10511,bouscaut,5
10512,moulis,5
10513,roger,5
10514,sjr,5
10515,buzzy,5
10516,immerse,5
10517,gratify,5
10518,apex,5
10519,deepfruited,5
10520,narcissus,5
10521,teddy,5
10522,fate,5
10523,reel,5
10524,ballpark,5
10525,inkling,5
10526,forgeron,5
10527,limber,5
10528,rochiolis,5
10529,expresso,5
10530,valpolicellas,5
10531,fondue,5
10532,allrounder,5
10533,somebody,5
10534,fiveyearold,5
10535,thoughtprovoking,5
10536,stephy,5
10537,rollat,5
10538,recommendation,5
10539,citruslaced,5
10540,sixacre,5
10541,castro,5
10542,maine,5
10543,jaffurs,5
10544,stonestreets,5
10545,yamhill,5
10546,authoritatively,5
10547,spruce,5
10548,eurostyle,5
10549,glyceriny,5
10550,mesnil,5
10551,concannons,5
10552,switzerland,5
10553,mistral,5
10554,eyewatering,5
10555,istria,5
10556,fonte,5
10557,aggressiveness,5
10558,heartiness,5
10559,dix,5
10560,rarest,5
10561,gooddeal,5
10562,redberryflavored,5
10563,dungeness,5
10564,topquality,5
10565,hugh,5
10566,o,5
10567,seventh,5
10568,higherelevation,5
10569,cushy,5
10570,firesteed,5
10571,polite,5
10572,fireplace,5
10573,bichot,5
10574,vins,5
10575,interplanted,5
10576,thunevin,5
10577,sidebyside,5
10578,aleatico,5
10579,kendalljacksons,5
10580,deeplyfruited,5
10581,newsomeharlows,5
10582,weil,5
10583,candiedcherry,5
10584,rive,5
10585,secreto,5
10586,adelaidas,5
10587,petrolly,5
10588,fabre,5
10589,oakley,5
10590,men,5
10591,sixplus,5
10592,jones,5
10593,countless,5
10594,coin,5
10595,glitter,5
10596,cabernetmalbec,5
10597,subordinate,5
10598,airdrying,5
10599,montecucco,5
10600,hilly,5
10601,blackjack,5
10602,tai,5
10603,tannnins,5
10604,lemonfocused,5
10605,tincture,5
10606,orangecolored,5
10607,pago,5
10608,rightful,5
10609,neutralsmelling,5
10610,wih,5
10611,overstate,5
10612,gallos,5
10613,whatsoever,5
10614,madonna,5
10615,semblance,5
10616,fullout,5
10617,hayflower,5
10618,cablike,5
10619,applecrisp,5
10620,façade,5
10621,mansois,5
10622,talbotts,5
10623,undeveloped,5
10624,slot,5
10625,gaineys,5
10626,vesúvio,5
10627,sturdily,5
10628,groppello,5
10629,wilson,5
10630,lipari,5
10631,rainoncement,5
10632,eruption,5
10633,ramble,5
10634,israel,5
10635,easton,5
10636,oxidization,5
10637,mineraldominated,5
10638,provencal,5
10639,moreau,5
10640,feed,5
10641,caberent,5
10642,mineralintense,5
10643,cusumano,5
10644,ara,5
10645,greenfloral,5
10646,batten,5
10647,freshfruited,5
10648,alentejos,5
10649,conventional,5
10650,succumb,5
10651,dogliani,5
10652,foodoriented,5
10653,korbel,5
10654,darkleaning,5
10655,cease,5
10656,vermentinu,5
10657,corinto,5
10658,baddest,5
10659,subregions,5
10660,pasture,5
10661,ripesmelling,5
10662,laurence,5
10663,brickish,5
10664,deficiency,5
10665,muscatlike,5
10666,moscatobased,5
10667,jaune,5
10668,donum,5
10669,london,5
10670,woodsap,5
10671,duckhorns,5
10672,transport,5
10673,sergio,5
10674,husky,5
10675,liver,5
10676,trattoria,5
10677,cheddar,5
10678,riviera,5
10679,larose,5
10680,trintaudon,5
10681,lamarque,5
10682,butterfly,5
10683,mantonico,5
10684,mouthcleaning,5
10685,bourguignon,5
10686,forestville,5
10687,vina,5
10688,lachini,5
10689,august,5
10690,wines,5
10691,spumante,5
10692,barrels,5
10693,felluga,5
10694,kressmann,5
10695,update,5
10696,prodigious,5
10697,wellestablished,5
10698,coury,5
10699,beckett,5
10700,pelvillain,5
10701,threeyearold,5
10702,polo,5
10703,domingo,5
10704,wellformed,5
10705,barreldominated,5
10706,borgo,5
10707,jess,5
10708,honeyrich,5
10709,whisp,5
10710,superslender,5
10711,craggys,5
10712,successor,5
10713,advice,5
10714,enigmatic,5
10715,swoon,5
10716,senior,5
10717,footelevation,5
10718,burt,5
10719,tartcherry,5
10720,grahamcracker,5
10721,sashi,5
10722,fajitas,5
10723,busy,5
10724,wrapper,5
10725,muscledup,5
10726,airfield,5
10727,honeybaked,5
10728,foreshadow,5
10729,guestier,5
10730,otherworldly,5
10731,redcolored,5
10732,nailpolish,5
10733,hannah,5
10734,seafoodfriendly,5
